,intended vote,education,age
576,leave,,71
577,stay,5.0,63
578,leave,4.0,43
579,leave,4.0,54
580,leave,2.0,69
581,don't know,5.0,41
582,leave,4.0,68
583,leave,4.0,72
584,stay,5.0,48
585,leave,5.0,57
586,stay,,55
587,don't know,4.0,54
588,leave,2.0,68
589,stay,4.0,57
590,stay,5.0,68
591,leave,5.0,52
592,stay,4.0,64
593,leave,4.0,63
594,leave,2.0,57
595,stay,4.0,71
596,leave,4.0,67
597,leave,4.0,67
598,stay,5.0,57
599,stay,4.0,71
600,leave,2.0,62
601,stay,4.0,64
602,leave,3.0,63
603,stay,5.0,53
604,stay,5.0,62
605,stay,4.0,63
606,stay,4.0,52
607,leave,4.0,51
608,stay,5.0,62
609,don't know,4.0,55
610,stay,4.0,65
611,stay,5.0,65
612,stay,4.0,58
613,stay,4.0,49
614,leave,4.0,53
615,stay,5.0,67
616,stay,5.0,67
617,don't know,5.0,53
618,leave,3.0,45
619,stay,5.0,61
620,leave,4.0,74
621,stay,5.0,44
622,stay,4.0,46
623,leave,3.0,69
624,leave,4.0,37
625,stay,4.0,64
626,leave,5.0,53
627,stay,5.0,54
628,leave,3.0,60
629,stay,4.0,40
630,stay,4.0,41
631,stay,4.0,63
632,leave,4.0,44
633,stay,4.0,42
634,stay,5.0,46
635,leave,3.0,52
636,leave,2.0,64
637,stay,5.0,37
638,don't know,4.0,65
639,stay,5.0,37
640,stay,4.0,66
641,leave,4.0,64
642,stay,5.0,60
643,stay,,60
644,leave,3.0,70
645,won't vote,3.0,35
646,leave,1.0,69
647,stay,4.0,64
648,leave,5.0,51
649,stay,4.0,64
650,stay,5.0,56
651,leave,4.0,63
652,leave,4.0,77
653,stay,4.0,64
654,leave,4.0,55
655,leave,4.0,64
656,stay,2.0,61
657,stay,4.0,68
658,leave,4.0,63
659,stay,4.0,60
660,stay,4.0,53
661,leave,4.0,29
662,don't know,5.0,65
663,stay,5.0,75
664,leave,,62
665,stay,4.0,65
666,stay,4.0,75
667,stay,5.0,57
668,don't know,,61
669,leave,4.0,59
670,leave,,66
671,stay,2.0,28
672,leave,5.0,65
673,stay,5.0,60
674,leave,4.0,39
675,leave,4.0,45
676,leave,,55
677,don't know,4.0,38
